zip,income
60630,"70,122"
60640,"50,488"
60622,"87,143"
60614,"100,116"
60608,"41,226"
60618,"66,246"
60647,"68,223"
60636,"27,573"
60639,"41,307"
60628,"38,206"
60612,"38,756"
60617,"38,417"
60659,"50,554"
60619,"32,558"
60629,"41,856"
60609,"33,959"
60641,"33,959"
60632,"42,335"
60631,"82,226"
60643,"59,488"
60637,"28,024"
60649,"24,941"
60638,"67,045"
60623,"31,445"
60654,"104,629"
60651,"36,283"
60657,"88,708"
60607,"92,240"
60620,"33,304"
60616,"46,340"
60624,"22,467"
60652,"65,770"
60634,"62,223"
60626,"39,163"
60633,"50,164"
60613,"79,565"
60610,"81,567"
60601,"110,215"
60625,"63,106"
60615,"41,679"
60655,"94,524"
60642,"92,797"
60611,"96,040"
60606,"139,179"
60707,"55,566"
60603,"140,114"
60621,"19,845"
60656,"60,575"
60661,"104,714"
60604,"114,565"
60605,"107,811"
60646,"86,534"
60645,"50,589"
60173,"79,024"
60602,"115,774"
60660,"45,442"
60653,"28,411"
60827,"31,008"
60007,"73,026"
60666,"62,992"
60644,"61,229"
60076,"74,964"
60126,"103,454"
60458,"47,411"
60423,"100,098"
