zip,tested,positive_cases
60002,2472,151
60004,11377,439
60005,5957,282
60007,5074,409
60008,5445,425
60010,6250,296
60012,1306,112
60013,2773,195
60014,6034,466
60015,4680,234
60016,11402,1263
60018,6724,748
60020,1541,69
60021,548,34
60022,1350,49
60025,7330,506
60026,4407,207
60029,144,12
60030,5515,294
60031,6843,458
60033,2236,286
60034,242,6
60035,7144,330
60040,1304,186
60041,1253,67
60042,993,67
60043,413,20
60044,2240,130
60045,3751,151
60046,4541,313
60047,8844,621
60048,4388,225
60050,4364,307
60051,2940,178
60053,4868,362
60056,8734,759
60060,5401,545
60061,3940,240
60062,10041,409
60064,3073,712
60067,8027,339
60068,6825,399
60069,3383,116
60070,3232,298
60071,438,22
60073,11068,1329
60074,5601,577
60076,7326,624
60077,5592,470
60079,153,14
60081,982,69
60083,1656,132
60084,2225,212
60085,16183,2774
60087,5974,835
60088,999,368
60089,6271,381
60090,7419,927
60091,4334,207
60093,3510,210
60096,856,67
60097,1278,64
60098,5902,474
60099,5836,697
60101,6729,931
60102,3821,281
60103,6196,403
60104,4243,508
60106,5292,597
60107,7159,757
60108,5940,410
60109,377,13
60110,5237,855
60112,546,44
60115,6002,392
60118,1999,112
60119,1236,65
60120,9017,1555
60123,9076,1063
60124,3078,217
60126,9168,523
60130,5309,200
60131,3328,417
60133,6987,866
60134,3979,260
60135,898,72
60136,1011,95
60137,6084,304
60139,6071,750
60140,2216,150
60141,1186,26
60142,3694,184
60143,2112,220
60145,225,13
60146,300,16
60148,8282,536
60150,192,7
60151,424,25
60152,1490,95
60153,4805,613
60154,3639,252
60155,1505,206
60156,3246,239
60157,321,17
60160,5161,838
60162,2567,193
60163,1007,114
60164,6339,606
60165,898,198
60169,5222,486
60171,1839,158
60172,3904,291
60173,1515,134
60174,5163,288
60175,2936,194
60176,1731,214
60177,3819,397
60178,2464,124
60180,166,6
60181,4434,350
60184,280,13
60185,6346,868
60187,5739,213
60188,7159,631
60189,4646,185
60190,2212,93
60191,2315,257
60192,1777,95
60193,6428,350
60194,4000,219
60195,520,28
60201,8852,381
60202,6919,488
60203,893,44
60301,614,38
60302,7353,304
60304,3369,107
60305,2205,104
60401,1533,69
60402,13329,1673
60403,3442,280
60404,3008,167
60406,5429,640
60408,923,31
60409,8589,821
60410,1639,85
60411,12381,1223
60415,2843,275
60416,955,40
60417,3286,220
60418,1228,154
60419,5903,534
60420,573,16
60421,399,18
60422,2159,137
60423,4280,270
60424,220,8
60425,2648,209
60426,6209,595
60428,2711,278
60429,3887,310
60430,4219,328
60431,4607,303
60432,3632,544
60433,3670,378
60434,537,189
60435,10181,844
60436,3520,306
60438,5655,550
